Subregions_01,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Eastern Asia,168,11,11,16,315,4,22,4,2,104,9,0,0,0,0,12,0,20,4,6,3,0,0,1,41,11,27,5,16,9,5,12,6,9,0,6,0,0,13,21,7,38,15,14,0,6,0,12,1,3,15,4,0,0,0
EU-27,170,83,148,106,83,38,39,39,12,289,40,26,10,22,31,82,27,117,46,61,92,22,72,34,177,58,129,110,101,153,48,73,81,45,39,35,15,70,66,123,92,135,203,73,15,46,20,84,30,177,70,63,21,14,2
Europeans out of EU,46,27,19,24,7,6,15,2,1,35,2,6,3,4,2,5,4,21,7,9,10,3,6,3,31,14,33,13,15,10,4,9,13,8,5,3,6,6,10,19,28,19,41,21,1,8,2,11,6,49,6,12,2,4,2
Latin America and the Caribbean,22,13,7,11,8,3,7,3,5,22,6,9,0,6,2,6,5,32,10,15,31,4,11,0,38,13,27,23,19,16,4,7,4,6,3,3,8,18,9,21,11,22,15,13,1,3,23,3,4,30,8,9,4,2,3
Northern Africa,156,163,79,50,66,24,26,28,6,332,25,10,0,12,2,70,5,70,8,13,264,3,20,7,93,9,45,100,31,72,9,13,6,16,23,17,3,21,23,24,21,20,15,24,6,13,4,29,21,31,27,11,13,1,0
South-eastern Asia,13,8,21,2,3,3,0,0,1,14,2,1,1,0,0,9,0,6,1,5,13,0,0,0,547,111,439,236,8,12,2,1,3,6,2,2,0,1,40,74,29,98,16,3,0,5,0,6,1,34,10,6,2,0,0
Southern Asia,645,864,713,310,224,12,34,10,6,920,5,7,1,15,2,51,4,94,3,8,243,2,46,8,909,63,397,742,284,880,12,24,20,53,16,11,5,27,29,73,33,163,58,62,12,38,379,21,7,48,153,34,31,1,0
Sub-Saharan Africa,250,505,141,132,250,26,42,25,2,1429,46,21,1,14,5,226,8,225,16,45,373,27,51,21,86,32,193,169,177,408,65,23,35,63,54,87,5,48,26,37,71,70,50,41,7,32,36,29,6,29,48,32,14,10,2
Other,20,12,18,10,11,2,4,0,3,13,1,3,0,1,1,11,5,9,2,19,9,2,8,1,10,14,9,12,6,9,5,7,3,1,8,7,1,5,4,9,10,17,10,13,0,3,12,7,4,15,8,13,1,5,1
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
